,Unnamed: 0,Oración 1,Oración 2,Similitud
486,,las hormonas como el estrógeno pueden ser responsables de causar cáncer si los niveles se vuelven excesivos.,"las alteraciones de tipo hormonal suelen causar enfermedades como tumores malignos, se ha demostrado que se deriva a por ingerir demasiadas grasas y alteraciones hormonales.",
487,,los veganos tienen niveles de estrógeno más bajos que los no veganos en parte debido al menor contenido de grasa de su dieta.,aquellas personas que llevan una dieta a base de plantas y semillas su grado de hormonas es más balanceado que aquellas que llevan una dieta a base de carbohidratos.,
488,,"además, tienen más de ciertas moléculas que se unen a las hormonas sexuales que circulan en la sangre y tienen la función de mantenerlas inactivas hasta que se necesiten.",aquellas personas que llevan una dieta a base de plantas y semillas su grado de hormonas es más balanceado que aquellas que llevan una dieta a base de carbohidratos.,
489,,"de igual forma, los veganos disfrutan de vidas más largas y saludables en comparación con aquellos que consumen carne.",las personas que llevan una alimentación con base en carne y carbohidratos mantiene un perfil de salud mucho más bajo y poco largo que las personas que tienen una dieta a base de verduras y semillas.,
490,,esta es una opción definitivamente muy saludable que trae consigo inmensos beneficios.,las opciones más saludables que se han visto en estos momentos es mantener una dieta vegana.,
491,,una dieta de este tipo por cinco días puede ayudar a ver cómo un cambio en nuestra alimentación puede ser un nuevo inicio para una vida llena de energía.,"el cambio a una dieta vegana puede aumentar nuestra fuerza y ánimo, notando los cambios en menos de 10 días.",
492,,"el consumo de estos alimentos ha ido en aumento por los estilos de vida que se han ido adquiriendo y son accesibles, en general.",la vida vegana tiene un auge por la facilidad de adquisición de los productos.,
493,,"otra ventaja es que no se debe esperar mucho tiempo para cocinar los alimentos, aunque también se pueden preparar platos delicados, divertidos y sorprendentes y crear delicias.",la rapidez en la que se pueden ejecutar diferentes platillos con este tipo de productos es una virtud.,
494,,"estas dietas tienen un alto valor nutricional, pero en ausencia de carne, es vital e importante asegurarse de consumir todas las cantidades correctas de proteínas.","el valor nutricional de este tipo de alimentación es alto, sin embargo, debido a la ausencia de carne, es muy importante consumir proteínas en la proporción adecuada.",
495,,"las enfermedades transmitidas por los alimentos, las bacterías, los parásitos y las toxinas químicas son más comunes en carnes comerciales.",prescindir del consumo de alimentos de origen animal minimiza el padecimiento de las principales causas de mortalidad en europa.,
496,,una alimentación enteramente sin carne o producto animal tienen un gran potencial para evitar las causas de mortalidad más frecuentes en europa.,"las carnes comerciales son comúnmente portadoras y transmisoras de enfermedades, bacterias, parásitos y toxinas químicas.",
497,,"con esto, es posible mejorar el rendimiento atlético. muchos deportistas comen saludablemente.",la mayoría de los deportistas se alimenta saludablemente. el rendimiento atlético puede mejorarse con una dieta vegana.,
498,,"el cuidado de la piel también es un factor a tomar en cuenta, pues la vitamina c dan como resultado una piel más lozana.","dermatológicamente hablando, existe una mejora también, gracias a la vitamina c.",
499,,"además, tienen más de ciertas moléculas que se unen a las hormonas sexuales que circulan en la sangre y tienen la función de mantenerlas inactivas hasta que se necesiten.","asimismo, la alimentación vegana prima la producción de moléculas que se unen a las hormonas sexuales de circulación sanguínea, cumpliendo la función de activarlas cuando sea necesario.",
500,,"de igual forma, los veganos disfrutan de vidas más largas y saludables en comparación con aquellos que consumen carne.","los veganos gozan de mayor longevidad y salud, en contra de la longevidad de una persona carnívora.",
501,,esta es una opción definitivamente muy saludable que trae consigo inmensos beneficios.,optar por este estilo de vida trae consigo una considerable cantidad de beneficios.,
502,,una dieta de este tipo por cinco días puede ayudar a ver cómo un cambio en nuestra alimentación puede ser un nuevo inicio para una vida llena de energía.,el inicio de un mejor estilo de vida lleno de energía puede notarse incluso con tan solo cinco días de someterse a este tipo de dieta.,
503,,"el consumo de estos alimentos ha ido en aumento por los estilos de vida que se han ido adquiriendo y son accesibles, en general.","este tipo de alimentación va en aumento, pues este estilo de vida ha sido más fácil de adquirir.",
504,,"otra ventaja es que no se debe esperar mucho tiempo para cocinar los alimentos, aunque también se pueden preparar platos delicados, divertidos y sorprendentes y crear delicias.","sumándose a las bondades, está el no requerir de lapsos largos para la cocción de los alimentos. de igual manera, pueden lograrse gran variedad de platillos, desde los divertidos hasta los gourmets.",
505,,"aunque no sólo el cuerpo sale beneficiado, pues es posible proteger el medio ambiente porque se requiere menos energía y tierras de cultivo para alimentar a un vegano.","no solo nuestro organismo recibe beneficios, de igual forma, el medio ambiente, pues la dieta vegana ayuda a reducir el uso de energía y el uso de tierras para el cultivo.",
506,,"las enfermedades transmitidas por los alimentos, las bacterías, los parásitos y las toxinas químicas son más comunes en carnes comerciales.","las afecciones  que son transmitidas por los alimentos a partir de parásitos, bacterias, y toxinas químicas son más frecuentes en carnes comerciales.",
507,,una alimentación enteramente sin carne o producto animal tienen un gran potencial para evitar las causas de mortalidad más frecuentes en europa.,"una dieta completamente vegana o sin productos cárnicos tiene una gran posibilidad para disminuir las causas de mortalidad más comunes en europa, siendo más fácil prevenir distintos tipos de padecimientos como los del corazón.",
508,,una dieta de este tipo por cinco días puede ayudar a ver cómo un cambio en nuestra alimentación puede ser un nuevo inicio para una vida llena de energía.,"llevar un régimen alimentario por sólo cinco días nos puede servir para observar un cambio en nuestra alimentación y cómo puede representar un nuevo comienzo para una vida llena de energía, sin olvidar también el cuidado de nuestra piel.",
509,,"el consumo de estos alimentos ha ido en aumento por los estilos de vida que se han ido adquiriendo y son accesibles, en general.","la dieta vegana se ha ido popularizando debido a los estilos de vida que se han ido adaptando, además de que en general son para todas las personas.",
510,,"incluso los gastos de producción, el transporte y otros procesos involucrados desde la granja a la mesa son elementos detonantes.","inclusive los gastos de producción, medios de transporte y otros procedimientos envueltos, desde la granja a la mesa son elementos importantes.",
511,,"la dieta común de las personas consiste en carnes, frutas, vegetales y todo cuanto sea comestible y se encuentre a nuestro alcance.","la mayoría de las personas tienen dietas comunes que incluyen carnes, frutas, vegetales y en general todo lo comestible que está a nuestro alcance.",
512,,"sin embargo, para cuidar de la salud, se deberían comer ciertos alimentos y restringir otros cuantos.","no obstante, para tener una dieta saludable se deberían restringir algunos alimentos y procurar otros.",
513,,"estas dietas tienen un alto valor nutricional, pero en ausencia de carne, es vital e importante asegurarse de consumir todas las cantidades correctas de proteínas.","este tipo de dieta tiene un alto contenido de nutrientes, aunque, al carecer de carne, es de suma importancia asegurarse de obtener las cantidades adecuadas de proteína.",
514,,la dieta vegana desempeña un papel relevante en la reducción de ataques de migraña porque estas se relacionan a menudo con alimentos como el chocolate y el queso.,"esta dieta también desempeña un papel importante en cuanto a los ataques de migraña, presentando una menor cantidad de estos debido a su relación con alimentos como el chocolate y el queso, que se evitan en el estilo de vida vegano.",
515,,"el cuidado de la piel también es un factor a tomar en cuenta, pues la vitamina c dan como resultado una piel más lozana.",esta dieta también tiene un gran impacto en nuestra piel ya que la vitamina c provoca una piel con apariencia más joven.,
516,,"además, tienen más de ciertas moléculas que se unen a las hormonas sexuales que circulan en la sangre y tienen la función de mantenerlas inactivas hasta que se necesiten.","las personas veganas tienen en su sangre una mayor cantidad de moléculas que, al unirse con hormonas sexuales, tienen la función de mantenerlas inactivas hasta que sean requeridas.",
517,,"aunque no sólo el cuerpo sale beneficiado, pues es posible proteger el medio ambiente porque se requiere menos energía y tierras de cultivo para alimentar a un vegano.","la producción de carne y otros productos animales implica un alto consumo de energías, tierras de cultivo, agua y alimentos para los animales, lo cual supone una pesada carga ambiental para el planeta.",
518,,"quizá la forma de comercio sea más particular de las ciudades, incluyendo la ciudad de méxico, pero los productos son procedentes de áreas agrícolas del interior de la república.","quizá la forma de comercio sea más propia de espacios urbanos con alta densidad de población, incluyendo la ciudad de méxico, aunque los productos provengan de áreas rurales del interior del país.",
519,,"los camoteros de la ciudad ofrecen generalmente frutos de piel púrpura y pulpa blanca, aunque también hay amarillos.","aunque en méxico se les conoce como camoteros por vender frutos de piel purpura y pulpa blanca, que también pueden ser amarillos, no son camotes lo único que venden, también ofrecen plátanos macho y nopal horneado.",
520,,"salidos del horno, estos barrocos alimentos se sirven al consumidor con una cobertura que puede incluir leche condensada, mermelada, chocolate, entre otras cosas.","el tiempo de cocción depende de la temperatura que alcance la caldera, la misma que también varía en función de la velocidad con que es empujado el carrito, pues este horno rodante funciona a base de leña.",
521,,"hay que decir que ésta varía también en función de la velocidad con que es empujado el carrito, pues este horno rodante funciona alimentado por leña.",los cajones del carrito deben ser tapados por una cama de cáscaras de plátano para lograr mantener húmedo el producto y lograr la cocción y la buena temperatura.,
522,,"para lograr la cocción y la buena temperatura, los cajones del carrito deben estar cubiertos por una cama de cáscaras de plátano que sirve para mantener húmedo el producto.","las 3 ruedas tienen un centro metálico para soportar el peso, el cual puede llegar hasta los trescientos kilogramos, y que están forradas de hule o caucho vulcanizado para resistir la fricción.",
523,,las tres ruedas tienen alma metálica para soportar el peso y están forradas de hule o caucho vulcanizado para contrarrestar la fricción.,el vendedor ambulante impulsa el carrito de los camotes para moverse entre las calles de la ciudad y vender su producto.,
524,,"en la parte alta del carrito, existe una superficie que el camotero utiliza para colocar los aderezos, poner al alcance de la mano las monedas y preparar sus productos.","en la parte superior del carrito, existe un espacio que el camotero utiliza para colocar los aderezos, preparar sus productos y tener al alcance de la mano el dinero.",
525,,el vendedor ambulante empuja el carrito de los camotes para trasladarse entre las calles de la ciudad y comercializar su producto.,"salidos del horno, estos alimentos se preparan al cliente con una cobertura que puede incluir leche condensada, mermelada, chocolate, entre otras cosas dulces.",
526,,"como el carrito mantiene el calor, el vapor que genera es empleado para silbar fuerte y distintivamente.","como el carrito mantiene el calor, el vapor que produce es utilizado para silbar con fuerza y distintivamente.",
527,,"dentro, los frutos cocidos se mantienen calientes y, por consiguiente, listos para ser consumidos.","el modo en el que se comercializan es, posiblemente, más propio de las ciudades —entre ellas la capital del país— sin embargo, son las zonas agrícolas del interior de la república las que producen dichos productos.",
528,,"los camotes y los plátanos son servidos en una servilleta de papel sobre platos desechables. suelen comerse con crema de leche azucarada, canela en polvo y se acompañan con leche.","si bien en méxico se les llama camoteros, los camotes no son el único producto que ofertan los carritos; entre sus opciones también se incluyen los plátanos machos y el nopal horneado.",
529,,a los plátanos y los camotes preparados de esta forma y consumidos como postres se les puede considerar parte de la gastronomía mexicana.,"para resistir la fricción, la triada de ruedas de estructura metálica que soporta el peso de carrito está recubiertas de hule o caucho vulcanizado.",
530,,"quizá la forma de comercio sea más particular de las ciudades, incluyendo la ciudad de méxico, pero los productos son procedentes de áreas agrícolas del interior de la república.",el vapor que se produce por el calor contenido en el carrito ocasiona su estridente y característico silbido.,
531,,"aunque en méxico se les conoce como camoteros, no son camotes lo único que vende: ofrece también plátanos machos y el nopal es horneado.",los comestibles pasan entre treinta y sesenta minutos en el horno del carrito hasta que alcanzan su cocción ideal; el tiempo depende de la potencia de la caldera.,
532,,"los camoteros de la ciudad ofrecen generalmente frutos de piel púrpura y pulpa blanca, aunque también hay amarillos.",la humedad del producto se mantiene gracias a un recubrimiento de cáscaras de plátano sobre los cajones que almacenan el producto; esto garantiza la temperatura y cocción adecuadas.,
533,,"salidos del horno, estos barrocos alimentos se sirven al consumidor con una cobertura que puede incluir leche condensada, mermelada, chocolate, entre otras cosas.","en su interior, los comestibles cocidos conservan su cálida temperatura, y en consecuencia listos para degustarse.",
534,,plátanos y camotes se cuecen en ese artefacto rodante en un tiempo que oscila entre los treinta y los sesenta minutos dependiendo de la temperatura que alcance la caldera.,"el camotero dispone los aderezos sobre una plancha en la parte superior del carrito, donde también finaliza la preparación de los productos y guarda cambio en monedas.",
535,,"para lograr la cocción y la buena temperatura, los cajones del carrito deben estar cubiertos por una cama de cáscaras de plátano que sirve para mantener húmedo el producto.","a pesar de la existencia de camotes amarillos, la especie de camote que se encuentra con mayor frecuencia entre los camoteros de la ciudad es la de piel púrpura y pulpa blanca.",
536,,las tres ruedas tienen alma metálica para soportar el peso y están forradas de hule o caucho vulcanizado para contrarrestar la fricción.,"los complementos que el consumidor puede elegir como cobertura de estos postres, una vez horneados, van desde la leche condensada hasta el chocolate, dentro de una amplia variedad de otros aderezos.",
537,,"en la parte alta del carrito, existe una superficie que el camotero utiliza para colocar los aderezos, poner al alcance de la mano las monedas y preparar sus productos.","en una servilleta de papel, sobre un plato desechable se sirven los frutos. es común comerlos con crema azucarada y canela, y beber leche para acompañarlos.",
538,,"como el carrito mantiene el calor, el vapor que genera es empleado para silbar fuerte y distintivamente.","considerados como postres, los plátanos y los camotes preparados de esta manera forman parte del acervo gastronómico de méxico.",
539,,"a pesar de las dificultades y la disminución de las ventas con el tiempo, los camoteros son un dulce oficio que se resiste a extinguirse.",pocas situaciones pueden equipararse al sentimiento de encontrar en un paseo nocturno un camote revestido de leche o mermelada.,
540,,no hay muchas sensaciones que se comparen al hecho de salir por la noche y ver cómo preparan un camote con leche o mermelada.,"asimismo, disfrutar de la vista de las luces que acarician la avenida, mientras entra por tus fosas nasales el exquisito olor proveniente del carrito.",
541,,"méxico tiene una amplia gama de tradiciones y costumbres. una bastante común en las ciudades es la del carrito de los camotes, identificado por su particular silbido.","las tradiciones y costumbres mexicanas son muy variadas. una de ellas, muy común en las ciudades, es el carrito de camotes que se anuncia con un silbido particular.",
542,,a los plátanos y los camotes preparados de esta forma y consumidos como postres se les puede considerar parte de la gastronomía mexicana.,esta preparación particular de camotes y plátanos forma parte de la rica gastronomía mexicana.,
543,,"quizá la forma de comercio sea más particular de las ciudades, incluyendo la ciudad de méxico, pero los productos son procedentes de áreas agrícolas del interior de la república.","a pesar de que a los vendedores que ofrecen este rico postre se les conoce como camoteros, también ofrecen plátano macho e incluso nopales horneados.",
544,,"aunque en méxico se les conoce como camoteros, no son camotes lo único que vende: ofrece también plátanos machos y el nopal es horneado.","la tradición de los camotes es sin duda mestiza, ya que los plátanos, originalmente asiáticos, fueron introducidos en las canarias antes de llegar a la américa continental.",
545,,"se trata de una tradición gastronómica mestiza, pues los plátanos son de origen asiático, originalmente introducido en las islas canarias que llegó a la américa continental.","por otro lado, el cultivo del camote estaba extendido por todo el continente desde tiempos anteriores a la conquista.",
546,,"por su parte, el camote es un tubérculo cuyo cultivo estaba extendido por todo el continente antes de la conquista.","a pesar de que este negocio es muy común en las urbes como la ciudad de méxico, sus productos provienen de las zonas rurales al interior de la república.",
547,,"los camoteros de la ciudad ofrecen generalmente frutos de piel púrpura y pulpa blanca, aunque también hay amarillos.","los camoteros citadinos por lo general ofrecen camotes de piel púrpura y pulpa blanca, aunque también existe una variedad amarilla.",
548,,plátanos y camotes se cuecen en ese artefacto rodante en un tiempo que oscila entre los treinta y los sesenta minutos dependiendo de la temperatura que alcance la caldera.,"los plátanos y los camotes se cuecen en un horno de leña al interior del carrito en un tiempo estimado entre treinta y sesenta minutos, dependiendo de la temperatura que alcance la caldera.",
549,,"hay que decir que ésta varía también en función de la velocidad con que es empujado el carrito, pues este horno rodante funciona alimentado por leña.",cabe mencionar que la temperatura del horno depende a su vez de la velocidad a la que empuje el camotero.,
550,,"para lograr la cocción y la buena temperatura, los cajones del carrito deben estar cubiertos por una cama de cáscaras de plátano que sirve para mantener húmedo el producto.","para alcanzar una temperatura adecuada y una cocción perfecta, los cajones se cubren con una cama de cáscara de plátano, de este modo los productos se mantienen húmedos.",
551,,las tres ruedas tienen alma metálica para soportar el peso y están forradas de hule o caucho vulcanizado para contrarrestar la fricción.,el vapor que genera el horno se utiliza para producir el característico silbido que los distingue.,
552,,a los plátanos y los camotes preparados de esta forma y consumidos como postres se les puede considerar parte de la gastronomía mexicana.,"si bien se les suele llamar camoteros, su venta no se limita a este producto: también se vende plátano macho, como se mencionó antes, y nopal al horno.",
553,,"aunque en méxico se les conoce como camoteros, no son camotes lo único que vende: ofrece también plátanos machos y el nopal es horneado.","podríamos decir que los platillos que se sirven y degustan de esta manera forman parte de la comida típica de méxico, una costumbre resultante de la colonia.",
554,,"por su parte, el camote es un tubérculo cuyo cultivo estaba extendido por todo el continente antes de la conquista.","si hablamos del camote, este ya era bastante común en américa antes de la llegada de los europeos.",
555,,"los camoteros de la ciudad ofrecen generalmente frutos de piel púrpura y pulpa blanca, aunque también hay amarillos.","los camoteros suelen vender una variedad blanca, pero también existen los amarillentos.",
556,,"salidos del horno, estos barrocos alimentos se sirven al consumidor con una cobertura que puede incluir leche condensada, mermelada, chocolate, entre otras cosas.","ambos platillos, una vez horneados, son cubiertos de crema de leche dulce, jalea de fruta o alguna salsa dulce.",
557,,"hay que decir que ésta varía también en función de la velocidad con que es empujado el carrito, pues este horno rodante funciona alimentado por leña.","para tenerse en condiciones óptimas, los contenedores del artefacto deben recubrirse con una capa de piel de plátano.",
558,,"para lograr la cocción y la buena temperatura, los cajones del carrito deben estar cubiertos por una cama de cáscaras de plátano que sirve para mantener húmedo el producto.","ya que la caldera de este artefacto opera quemando madera, la rapidez a la que avance también afecta la temperatura.",
559,,"en realidad, se trata de pequeños vehículos metálicos y de tracción humana cuyo peso puede llegar hasta los 300 kilogramos.","esto para ayudar a mover estos artefactos móviles de metal y tamaño reducido, hechos para ser empujados, que pueden alcanzar los 300 kilos.",
560,,"dentro, los frutos cocidos se mantienen calientes y, por consiguiente, listos para ser consumidos.","los productos cocinados se mantienen calientes dentro del carrito, listos para ser consumidos.",
561,,"los camoteros de la ciudad ofrecen generalmente frutos de piel púrpura y pulpa blanca, aunque también hay amarillos.",los camoteros ofrecen frutos de piel purpura y pulpa blanca o amarilla.,
562,,"salidos del horno, estos barrocos alimentos se sirven al consumidor con una cobertura que puede incluir leche condensada, mermelada, chocolate, entre otras cosas.","los alimentos salen del horno y se sirven al consumidor cubiertos de leche condensada, mermelada, o chocolate.",
563,,"para lograr la cocción y la buena temperatura, los cajones del carrito deben estar cubiertos por una cama de cáscaras de plátano que sirve para mantener húmedo el producto.",los cajones del carrito deben cubrirse con una cama de cascaras de plátano para mantener la humedad y temperatura que aseguren la cocción.,
564,,el carrito está fabricado primordialmente de acero; es prácticamente cilíndrico y se le han incorporado ruedas.,el carrito de camotes es de forma cilíndrica con ruedas y está fabricado de acero.,
565,,"en la parte alta del carrito, existe una superficie que el camotero utiliza para colocar los aderezos, poner al alcance de la mano las monedas y preparar sus productos.","el carrito tiene una superficie ubicada en su parte alta, sirve para poner los aderezos, alcanzar las monedas y preparar sus productos.",
566,,el vendedor ambulante empuja el carrito de los camotes para trasladarse entre las calles de la ciudad y comercializar su producto.,el camotero empuja el carrito de los camotes para trasladarse entre las calles de la ciudad y vender sus productos.,
567,,"como el carrito mantiene el calor, el vapor que genera es empleado para silbar fuerte y distintivamente.",el vapor producido por el calor al interior del vehículo es empleado para emitir su característico silbido.,
568,,"a pesar de las dificultades y la disminución de las ventas con el tiempo, los camoteros son un dulce oficio que se resiste a extinguirse.",algo atrayente de comerlos es que el distintivo sonido se escucha principalmente a las primeras horas de la noche.,
