,Oración 1,Oración 2,Similitud
0,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.","el puesto ambulante está cargado con camotes y plátanos, los dos platillos clásicos.",0.675978422164917
1,a los plátanos y los camotes preparados de esta forma y consumidos como postres se les puede considerar parte de la gastronomía mexicana.,"este platillo es, sin duda alguna, un elemento de la cultura culinaria de méxico.",0.679140567779541
2,no hay muchas sensaciones que se comparen al hecho de salir por la noche y ver cómo preparan un camote con leche o mermelada.,la preparación de un camote con dulce con el sol puesto es una experiencia incomparable.,0.6965210437774658
3,el carrito está fabricado primordialmente de acero; es prácticamente cilíndrico y se le han incorporado ruedas.,"los carritos tienen una forma sencilla, básicamente se trata de cilindros de acero con ruedas.",0.7339935898780823
4,"aunque en méxico se les conoce como camoteros, no son camotes lo único que vende: ofrece también plátanos machos y el nopal es horneado.","a quienes tienen su carrito de camotes se les llama camoteros, a pesar de que no solo ofrecen camotes, sino también plátanos machos y nopales horneados.",0.7603153586387634
5,"como el carrito mantiene el calor, el vapor que genera es empleado para silbar fuerte y distintivamente.",su sonido particular se genera por el vapor que resulta de la cocción del artefacto.,0.7679477334022522
6,"dentro, los frutos cocidos se mantienen calientes y, por consiguiente, listos para ser consumidos.","el interior del carrito mantiene caliente los frutos cocidos, listos para su consumo.",0.7685011029243469
7,"por su parte, el camote es un tubérculo cuyo cultivo estaba extendido por todo el continente antes de la conquista.","si hablamos del camote, este ya era bastante común en américa antes de la llegada de los europeos.",0.7713333964347839
8,no hay muchas sensaciones que se comparen al hecho de salir por la noche y ver cómo preparan un camote con leche o mermelada.,pocas situaciones pueden equipararse al sentimiento de encontrar en un paseo nocturno un camote revestido de leche o mermelada.,0.7714759707450867
9,el carrito está fabricado primordialmente de acero; es prácticamente cilíndrico y se le han incorporado ruedas.,"el vehículo es en su mayoría de metal, posee una forma cilíndrica a la cual se le agregan las ruedas que permiten su movimiento.",0.7737407684326172
10,"salidos del horno, estos barrocos alimentos se sirven al consumidor con una cobertura que puede incluir leche condensada, mermelada, chocolate, entre otras cosas.","una vez horneados, estos son cubiertos de crema de leche dulce, jalea de fruta o alguna salsa dulce.",0.7752006649971008
11,"aunque en méxico se les conoce como camoteros, no son camotes lo único que vende: ofrece también plátanos machos y el nopal es horneado.","si bien se les suele llamar camoteros, su venta no se limita a este producto: también se venden plátanos machos y nopal al horno.",0.7836122512817383
12,"aunque en méxico se les conoce como camoteros, no son camotes lo único que vende: ofrece también plátanos machos y el nopal es horneado.","aunque los mexicanos los conocen como camoteros, venden más que solo camotes, como plátanos machos y nopal horneado.",0.7926633954048157
13,"aunque, de vez en cuando, puede tomar por sorpresa a cualquier turista que recorre las calles y avenidas de la ciudad.",a veces puede espantar a algún foráneo que pasea por la ciudad.,0.7933098673820496
14,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.",el carrito lleva dos productos particulares: camotes y plátanos.,0.7953758835792542
15,"hay que decir que ésta varía también en función de la velocidad con que es empujado el carrito, pues este horno rodante funciona alimentado por leña.","ya que la caldera de este artefacto opera quemando madera, la rapidez a la que avance también afecta la temperatura.",0.7959831357002258
16,el carrito está fabricado primordialmente de acero; es prácticamente cilíndrico y se le han incorporado ruedas.,el carrito de los camotes es cilíndrico y está hecho principalmente de hierro y carbono.,0.7962343692779541
17,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.",el carrito lleva dos productos específicos: camotes y plátanos.,0.7967772483825684
18,el carrito está fabricado primordialmente de acero; es prácticamente cilíndrico y se le han incorporado ruedas.,"el acero es el principal material involucrado en la fabricación del carrito, que tiene una forma cilíndrica y avanza sobre ruedas.",0.7984644770622253
19,no hay muchas sensaciones que se comparen al hecho de salir por la noche y ver cómo preparan un camote con leche o mermelada.,poco es similar a la experiencia nocturna de dar un paseo y ver cómo los sirven.,0.8028911352157593
20,"dentro, los frutos cocidos se mantienen calientes y, por consiguiente, listos para ser consumidos.","los productos están listos para su consumo en cualquier momento, pues permanecen calientes al interior del carrito.",0.8051309585571289
21,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.","propios de éste, el carrito transporta dos productos: camotes y plátanos.",0.807975709438324
22,"por su parte, el camote es un tubérculo cuyo cultivo estaba extendido por todo el continente antes de la conquista.","el camote, en contraposición, se cultivó en toda américa desde el periodo anterior a la conquista.",0.8137186765670776
23,a los plátanos y los camotes preparados de esta forma y consumidos como postres se les puede considerar parte de la gastronomía mexicana.,estos postres son considerados parte de la gastronomía mexicana.,0.8158594965934753
24,"hay que decir que ésta varía también en función de la velocidad con que es empujado el carrito, pues este horno rodante funciona alimentado por leña.","la temperatura depende de la velocidad a la que avanza el carrito, pues el horno se alimenta de leña.",0.8169035911560059
25,"dentro, los frutos cocidos se mantienen calientes y, por consiguiente, listos para ser consumidos.",en su interior se guarda la temperatura adecuada para que estos platillos puedan ser comidos sin mayor preparación.,0.8180751800537109
26,"aunque en méxico se les conoce como camoteros, no son camotes lo único que vende: ofrece también plátanos machos y el nopal es horneado.","el término común para los comerciantes de estos productos es camoteros, aunque no cuenta la historia completa, también venden plátano macho y nopales al horno.",0.819171130657196
27,"en realidad, se trata de pequeños vehículos metálicos y de tracción humana cuyo peso puede llegar hasta los 300 kilogramos.",estos pequeños vehículos que avanzan gracias a la fuerza de empuje del camotero pueden llegar a pesar trecientos kilos.,0.8195961117744446
28,"los camotes y los plátanos son servidos en una servilleta de papel sobre platos desechables. suelen comerse con crema de leche azucarada, canela en polvo y se acompañan con leche.","la presentación de estos productos consiste en un plato de plástico, una servilleta de papel como base, para el consumo se acompaña de un recubrimiento de crema azucarada, canela en polvo y un vaso de leche.",0.8196625113487244
29,"dentro, los frutos cocidos se mantienen calientes y, por consiguiente, listos para ser consumidos.","en su interior, los comestibles cocidos conservan su cálida temperatura, y en consecuencia listos para degustarse.",0.8211809992790222
30,y oler el dulce aroma que emana del carrito mientras observas la iluminada avenida por las luces nocturnas.,"bajo la luz de la noche, observando la avenida respirando ese suave olor proveniente del carrito.",0.8331493735313416
31,"por su parte, el camote es un tubérculo cuyo cultivo estaba extendido por todo el continente antes de la conquista.","contrastando el viaje del plátano, la producción del camote data desde tiempos prehispánicos con extensión continental desde esos tiempos.",0.8335186243057251
32,"los camoteros de la ciudad ofrecen generalmente frutos de piel púrpura y pulpa blanca, aunque también hay amarillos.","suelen producir piel morada y pulpa blanca, aunque también hay amarillas.",0.8337247371673584
33,el carrito está fabricado primordialmente de acero; es prácticamente cilíndrico y se le han incorporado ruedas.,"el elemento base del stand ambulante es el acero, de una forma similar a un cilindro al que se le han agregado ruedas.",0.8367504477500916
34,"dentro, los frutos cocidos se mantienen calientes y, por consiguiente, listos para ser consumidos.","esos productos, ya cocidos y resguardados, conservan su calor perfecto para comerse al instante.",0.8415283560752869
35,"dentro, los frutos cocidos se mantienen calientes y, por consiguiente, listos para ser consumidos.","en el interior, la fruta cocida se mantiene caliente y, por lo tanto, lista para comer.",0.8433798551559448
36,plátanos y camotes se cuecen en ese artefacto rodante en un tiempo que oscila entre los treinta y los sesenta minutos dependiendo de la temperatura que alcance la caldera.,"nuestros dos frutos pasan por un proceso de cocción desde media hora hasta la hora completa, dependiendo de la temperatura de la caldera rodante.",0.8448932766914368
37,y oler el dulce aroma que emana del carrito mientras observas la iluminada avenida por las luces nocturnas.,"esta experiencia se enriquece al ver la avenida iluminada por las luces nocturnas, al tiempo que se percibe el dulce aroma proveniente del carrito.",0.8473532199859619
38,"como el carrito mantiene el calor, el vapor que genera es empleado para silbar fuerte y distintivamente.",el calor producido por el carrito se convierte en el icónico y ensordecedor silbido de los camotes.,0.8478657007217407
39,"aunque en méxico se les conoce como camoteros, no son camotes lo único que vende: ofrece también plátanos machos y el nopal es horneado.","si bien en méxico se les llama camoteros, los camotes no son el único producto que ofertan los carritos; entre sus opciones también se incluyen los plátanos machos y el nopal horneado.",0.8534894585609436
40,"méxico tiene una amplia gama de tradiciones y costumbres. una bastante común en las ciudades es la del carrito de los camotes, identificado por su particular silbido.","méxico tiene un folklore muy vasto, en las metrópolis podemos observar el carrito de los camotes, distinguible por su peculiar silbido.",0.8560744524002075
41,"a pesar de las dificultades y la disminución de las ventas con el tiempo, los camoteros son un dulce oficio que se resiste a extinguirse.",el trabajo de camotero es un trabajo dulce que no se rinde a pesar de los problemas que enfrentan.,0.8570758104324341
42,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.","dos artículos sumamente populares son trasladados por el móvil, camotes (batatas o boniatos) y plátanos.",0.8585575819015503
43,"los camotes y los plátanos son servidos en una servilleta de papel sobre platos desechables. suelen comerse con crema de leche azucarada, canela en polvo y se acompañan con leche.",se sirven sobre platos desechables con una servilleta. por lo regular se comen con crema de leche azucarada y canela en polvo y se acompañan con un vaso de leche.,0.8599281907081604
44,"en realidad, se trata de pequeños vehículos metálicos y de tracción humana cuyo peso puede llegar hasta los 300 kilogramos.",se trata de reducidos vehículos metalizados que llegan a pesar 0.3 kilos y que son empujados por una persona.,0.8643693923950195
45,no hay muchas sensaciones que se comparen al hecho de salir por la noche y ver cómo preparan un camote con leche o mermelada.,"salir por la noche y ver como se prepara un camote con mermelada o leche es, sin duda, una experiencia única e incomparable.",0.868986189365387
46,"como el carrito mantiene el calor, el vapor que genera es empleado para silbar fuerte y distintivamente.","para producir su característico silbido, se utiliza el vapor que genera el horno al calentarse.",0.8690541982650757
47,"aunque, de vez en cuando, puede tomar por sorpresa a cualquier turista que recorre las calles y avenidas de la ciudad.","ocasionalmente, sin embargo, puede llegar a sorprender a algún turista que pasee por la ciudad.",0.8717570900917053
48,"como el carrito mantiene el calor, el vapor que genera es empleado para silbar fuerte y distintivamente.",el vapor que se produce por el calor contenido en el carrito ocasiona su estridente y característico silbido.,0.8721040487289429
49,"quizá la forma de comercio sea más particular de las ciudades, incluyendo la ciudad de méxico, pero los productos son procedentes de áreas agrícolas del interior de la república.","el modo en el que se comercializan es, posiblemente, más propio de las ciudades —entre ellas la capital del país— sin embargo, son las zonas agrícolas del interior de la república las que producen dichos productos.",0.8732226490974426
50,"en realidad, se trata de pequeños vehículos metálicos y de tracción humana cuyo peso puede llegar hasta los 300 kilogramos.","de hecho, son artefactos móviles de metal y tamaño reducido hechos para ser empujados y pueden alcanzar los 300 kilos.",0.8737744688987732
51,a los plátanos y los camotes preparados de esta forma y consumidos como postres se les puede considerar parte de la gastronomía mexicana.,se valora como parte de la gastronomía mexicana el postre de plátanos y camotes preparados de esta forma.,0.8739730715751648
52,"aunque, de vez en cuando, puede tomar por sorpresa a cualquier turista que recorre las calles y avenidas de la ciudad.",un retumbar que sin duda alguna espantará a cualquier persona no acostumbrada a la naturaleza de las calles de la metrópolis.,0.8755512237548828
53,"en realidad, se trata de pequeños vehículos metálicos y de tracción humana cuyo peso puede llegar hasta los 300 kilogramos.","recapitulamos a este vehículo sus características metálicas, 300 kilos de peso máximo, y la necesidad de la tracción humana.",0.8767122030258179
54,las tres ruedas tienen alma metálica para soportar el peso y están forradas de hule o caucho vulcanizado para contrarrestar la fricción.,"para lidiar con el alto peso del carrito, las ruedas están compuestas de un forro de hule o caucho que recubre un interior metálico, perfecto para lidiar con fricción.",0.8778006434440613
55,"hay que decir que ésta varía también en función de la velocidad con que es empujado el carrito, pues este horno rodante funciona alimentado por leña.","hay que decir que esto también varía según la velocidad a la que se empuja el carro, ya que este laminador funciona con madera.",0.8818564414978027
56,a los plátanos y los camotes preparados de esta forma y consumidos como postres se les puede considerar parte de la gastronomía mexicana.,"considerados como postres, los plátanos y los camotes preparados de esta manera forman parte del acervo gastronómico de méxico.",0.8833575248718262
57,el sonido que los distingue se llega a oír generalmente en las primeras horas de la noche y eso hace parte del atractivo de comerlos.,parte de lo llamativo a la hora de consumirlos radica en el retumbar del silbido al inicio de la noche.,0.8835791349411011
58,"salidos del horno, estos barrocos alimentos se sirven al consumidor con una cobertura que puede incluir leche condensada, mermelada, chocolate, entre otras cosas.","los complementos que el consumidor puede elegir como cobertura de estos postres, una vez horneados, van desde la leche condensada hasta el chocolate, dentro de una amplia variedad de otros aderezos.",0.885353147983551
59,las tres ruedas tienen alma metálica para soportar el peso y están forradas de hule o caucho vulcanizado para contrarrestar la fricción.,las tres ruedas son metálicas para aguantar la estructura y se cubren como llantas comunes para eliminar la fricción.,0.8858019113540649
60,y oler el dulce aroma que emana del carrito mientras observas la iluminada avenida por las luces nocturnas.,y captar el olor que proviene del artefacto al mismo tiempo que se aprecia la iluminación de las calles.,0.887435257434845
61,"a pesar de las dificultades y la disminución de las ventas con el tiempo, los camoteros son un dulce oficio que se resiste a extinguirse.","con el tiempo la venta de este postre tradicional ha disminuido y las dificultades se han presentado; sin embargo, el negocio de los camoteros se resiste a la extinción.",0.8913541436195374
62,"salidos del horno, estos barrocos alimentos se sirven al consumidor con una cobertura que puede incluir leche condensada, mermelada, chocolate, entre otras cosas.","estos productos recién horneados se venden con un aderezo dulce consistente de leche condensada, mermelada, chocolate o algún otro ingrediente.",0.8957585692405701
63,"los camoteros de la ciudad ofrecen generalmente frutos de piel púrpura y pulpa blanca, aunque también hay amarillos.","los camoteros suelen vender una variedad de cáscara morada e interior blanco, pero también existen los amarillentos.",0.8959751725196838
64,el vendedor ambulante empuja el carrito de los camotes para trasladarse entre las calles de la ciudad y comercializar su producto.,"el carrito se desplaza por las calles de la ciudad empujado por el comerciante, quien oferta su producto.",0.8962783813476562
65,"méxico tiene una amplia gama de tradiciones y costumbres. una bastante común en las ciudades es la del carrito de los camotes, identificado por su particular silbido.",el espectro de tradiciones y costumbres de la república mexicana es muy extenso. destaca entre ellas el habitual carrito de camotes que puede reconocerse por el silbido característico que emite.,0.8972808718681335
66,las tres ruedas tienen alma metálica para soportar el peso y están forradas de hule o caucho vulcanizado para contrarrestar la fricción.,"para resistir la fricción, la triada de ruedas de estructura metálica que soporta el peso de carrito están recubiertas de hule o caucho vulcanizado.",0.9005398750305176
67,"para lograr la cocción y la buena temperatura, los cajones del carrito deben estar cubiertos por una cama de cáscaras de plátano que sirve para mantener húmedo el producto.","una forma de conseguir una temperatura idónea es recubrir los compartimentos del carro con cáscaras de plátano, esto permite mantener húmedo al camote y al plátano.",0.9018343091011047
68,plátanos y camotes se cuecen en ese artefacto rodante en un tiempo que oscila entre los treinta y los sesenta minutos dependiendo de la temperatura que alcance la caldera.,los comestibles pasan entre treinta y sesenta minutos en el horno del carrito hasta que alcanzan su cocción ideal; el tiempo depende de la potencia de la caldera.,0.9018463492393494
69,el vendedor ambulante empuja el carrito de los camotes para trasladarse entre las calles de la ciudad y comercializar su producto.,"la compra y venta de este producto se encuentra en las calles mismas de la ciudad, siendo el camotero quien le da dirección al vehículo.",0.9019922614097595
70,el sonido que los distingue se llega a oír generalmente en las primeras horas de la noche y eso hace parte del atractivo de comerlos.,parte del encanto del carrito de camotes radica en el distintivo silbido que se escucha durante las primeras horas nocturnas.,0.9020445346832275
71,"los camoteros de la ciudad ofrecen generalmente frutos de piel púrpura y pulpa blanca, aunque también hay amarillos.","a pesar de la existencia de camotes amarillos, la especie de camote que se encuentra con mayor frecuencia entre los camoteros de la ciudad es la de piel púrpura y pulpa blanca.",0.9032921195030212
72,"aunque, de vez en cuando, puede tomar por sorpresa a cualquier turista que recorre las calles y avenidas de la ciudad.","aun así, alguna vez pueden sorprender a los turistas mientras caminan por las avenidas o las calles de la ciudad.",0.905799150466919
73,plátanos y camotes se cuecen en ese artefacto rodante en un tiempo que oscila entre los treinta y los sesenta minutos dependiendo de la temperatura que alcance la caldera.,"dependiendo de la temperatura del horno, los plátanos y boniatos dentro del carrito se terminan de cocer entre la media hora y una hora.",0.9059381484985352
74,el sonido que los distingue se llega a oír generalmente en las primeras horas de la noche y eso hace parte del atractivo de comerlos.,"el peculiar silbido del carrito acompaña las primeras de la noche, esto es parte del atractivo que invita a comer los dulces postres.",0.9061219096183777
75,plátanos y camotes se cuecen en ese artefacto rodante en un tiempo que oscila entre los treinta y los sesenta minutos dependiendo de la temperatura que alcance la caldera.,"los camotes y los plátanos se cuecen aproximadamente en media o una hora, según la temperatura de la caldera.",0.9064996242523193
76,"hay que decir que ésta varía también en función de la velocidad con que es empujado el carrito, pues este horno rodante funciona alimentado por leña.","este tiempo llega a varias dependiendo de la rapidez con la que el carrito es empujado, ya que dicho horno funciona a través de leña.",0.9065671563148499
77,"los camotes y los plátanos son servidos en una servilleta de papel sobre platos desechables. suelen comerse con crema de leche azucarada, canela en polvo y se acompañan con leche.","en una servilleta de papel, sobre un plato desechable se sirven los frutos. es común comerlos con crema azucarada y canela, y beber leche para acompañarlos.",0.9069797396659851
78,el sonido que los distingue se llega a oír generalmente en las primeras horas de la noche y eso hace parte del atractivo de comerlos.,"el ruido característico de estos carritos se escucha normalmente al anochecer, lo que forma parte de la tradición.",0.9076547026634216
79,"por su parte, el camote es un tubérculo cuyo cultivo estaba extendido por todo el continente antes de la conquista.","por otro lado, el cultivo de camote era común en todo el continente desde tiempos anteriores a la conquista.",0.910666823387146
